brand,shoe_name,date,sales,ad_cost,impressions,clicks
Adidas,Superstar,2024-12-05,231,9589,27490,1502
Puma,Rider Vintage,2024-12-05,111,3518,27804,1015
New Balance,327,2024-12-05,200,1339,17885,1368
Reebok,Question Mid,2024-12-05,93,2663,12511,320
Nike,Air Max 270,2024-12-05,229,5406,19280,518
Adidas,Stan Smith,2024-12-06,163,9053,24431,1862
Puma,Cali Dream,2024-12-06,20,4620,20521,594
New Balance,9060,2024-12-06,229,6246,32279,1557
Reebok,Zig Kinetica,2024-12-06,94,1467,26732,754
Nike,Jordan 1,2024-12-06,129,7843,10905,356
Adidas,Ultraboost 23,2024-12-06,213,8537,31711,837
Puma,RS-X,2024-12-06,151,1663,31919,2355
New Balance,2002R,2024-12-06,146,2732,21220,1028
Reebok,Instapump Fury,2024-12-06,146,11423,26983,1867
Nike,Cortez,2024-12-06,143,2479,30870,2340
Adidas,NMD S1,2024-12-06,147,9587,7409,404
Puma,Suede Classic,2024-12-06,204,2291,8653,539
New Balance,990v6,2024-12-06,81,2888,14599,419
Reebok,Nano X3,2024-12-06,244,8260,21483,1490
Nike,Vaporfly 3,2024-12-06,200,4661,32754,1245
Adidas,Samba,2024-12-07,25,6549,13184,517
Puma,Mayze,2024-12-07,161,9114,25735,1593
New Balance,574 Core,2024-12-07,96,9359,6857,288
Reebok,Club C 85,2024-12-07,162,11814,16456,1263
Nike,Pegasus 40,2024-12-07,73,7300,27331,1156
Adidas,Gazelle,2024-12-07,138,7154,32015,1025
Puma,Slipstream,2024-12-07,156,5301,21590,1448
New Balance,550,2024-12-07,127,7449,19514,551
Reebok,Classic Leather,2024-12-07,183,6094,6469,175
Nike,Air Force 1,2024-12-07,135,4780,33417,1124
Adidas,Superstar,2024-12-07,108,10244,19884,582
Puma,Rider Vintage,2024-12-07,173,8633,26617,2102
New Balance,327,2024-12-07,227,5323,31576,1692
Reebok,Question Mid,2024-12-07,22,9959,13745,900
Nike,Air Max 270,2024-12-07,37,8274,19077,408
Adidas,Stan Smith,2024-12-08,166,10127,16825,847
Puma,Cali Dream,2024-12-08,137,10099,8895,280
New Balance,9060,2024-12-08,149,9321,29498,877
Reebok,Zig Kinetica,2024-12-08,78,5619,6389,314
Nike,Jordan 1,2024-12-08,28,9206,28875,2075
Adidas,Ultraboost 23,2024-12-08,215,8009,11742,814
Puma,RS-X,2024-12-08,118,11225,33032,1762
New Balance,2002R,2024-12-08,43,5330,14738,1030
Reebok,Instapump Fury,2024-12-08,202,1821,20164,1610
Nike,Cortez,2024-12-08,43,2331,18132,451
Adidas,NMD S1,2024-12-08,70,9218,30585,1706
Puma,Suede Classic,2024-12-08,126,7023,20256,1313
New Balance,990v6,2024-12-08,37,7052,6811,328
Reebok,Nano X3,2024-12-08,65,5820,15942,469
Nike,Vaporfly 3,2024-12-08,107,7183,34598,939
Adidas,Samba,2024-12-09,136,5944,11385,898
Puma,Mayze,2024-12-09,128,2578,14995,888
New Balance,574 Core,2024-12-09,56,5729,12984,513
Reebok,Club C 85,2024-12-09,97,4441,22661,1309
Nike,Pegasus 40,2024-12-09,248,3889,9430,728
Adidas,Gazelle,2024-12-09,61,9569,16217,573
Puma,Slipstream,2024-12-09,171,7807,26128,1649
New Balance,550,2024-12-09,114,6863,24390,852
Reebok,Classic Leather,2024-12-09,73,6411,13747,822
Nike,Air Force 1,2024-12-09,204,3685,18189,579
Adidas,Superstar,2024-12-09,42,6062,8637,598
Puma,Rider Vintage,2024-12-09,124,3094,34582,2682
New Balance,327,2024-12-09,150,6850,28873,653
Reebok,Question Mid,2024-12-09,188,7793,13339,350
Nike,Air Max 270,2024-12-09,195,3498,10204,335
Adidas,Stan Smith,2024-12-10,157,9387,6003,456
Puma,Cali Dream,2024-12-10,111,4457,9514,749
New Balance,9060,2024-12-10,164,11571,5496,157
Reebok,Zig Kinetica,2024-12-10,102,4320,11049,638
Nike,Jordan 1,2024-12-10,212,9058,20790,1588
Adidas,Ultraboost 23,2024-12-10,131,3933,21333,802
Puma,RS-X,2024-12-10,222,11039,6512,207
New Balance,2002R,2024-12-10,193,7427,8054,402
Reebok,Instapump Fury,2024-12-10,168,4672,5291,409
Nike,Cortez,2024-12-10,91,5283,15446,862
Adidas,NMD S1,2024-12-10,102,9138,22267,600
Puma,Suede Classic,2024-12-10,136,5027,12612,739
New Balance,990v6,2024-12-10,206,10873,28919,2222
Reebok,Nano X3,2024-12-10,99,11457,25959,1371
Nike,Vaporfly 3,2024-12-10,187,10554,32820,1282
Adidas,Samba,2024-12-11,148,2967,6199,161
Puma,Mayze,2024-12-11,179,6125,16430,527
New Balance,574 Core,2024-12-11,221,4796,28128,2120
Reebok,Club C 85,2024-12-11,39,5033,13740,471
Nike,Pegasus 40,2024-12-11,112,2625,34471,1295
Adidas,Gazelle,2024-12-11,78,1784,19982,1189
Puma,Slipstream,2024-12-11,248,5210,13502,752
New Balance,550,2024-12-11,169,2165,18023,509
Reebok,Classic Leather,2024-12-11,200,4145,16908,475
Nike,Air Force 1,2024-12-11,43,4334,18393,439
Adidas,Superstar,2024-12-11,120,4607,28009,1912
Puma,Rider Vintage,2024-12-11,148,10612,26998,965
New Balance,327,2024-12-11,73,9838,22631,1250
Reebok,Question Mid,2024-12-11,149,3913,9430,719
Nike,Air Max 270,2024-12-11,61,2411,31255,2274
Adidas,Stan Smith,2024-12-12,22,3067,23650,1101
Puma,Cali Dream,2024-12-12,72,9668,31327,2281
New Balance,9060,2024-12-12,33,8803,28542,1266
Reebok,Zig Kinetica,2024-12-12,149,8717,12290,282
Nike,Jordan 1,2024-12-12,53,2912,32523,2480
Adidas,Ultraboost 23,2024-12-12,185,11115,27597,2067
Puma,RS-X,2024-12-12,140,9125,28431,1485
New Balance,2002R,2024-12-12,22,8437,25584,1733
Reebok,Instapump Fury,2024-12-12,193,9160,11876,701
Nike,Cortez,2024-12-12,248,9551,28159,1358
Adidas,NMD S1,2024-12-12,113,11751,25921,654
Puma,Suede Classic,2024-12-12,188,11323,9481,485
New Balance,990v6,2024-12-12,150,1837,26664,952
Reebok,Nano X3,2024-12-12,179,11346,5441,265
Nike,Vaporfly 3,2024-12-12,222,2029,30132,2397
Adidas,Samba,2024-12-13,83,11744,20025,434
Puma,Mayze,2024-12-13,241,6148,26960,909
New Balance,574 Core,2024-12-13,141,9796,11578,254
Reebok,Club C 85,2024-12-13,183,1609,5460,227
Nike,Pegasus 40,2024-12-13,29,8251,23313,1807
Adidas,Gazelle,2024-12-13,156,4651,25068,1783
Puma,Slipstream,2024-12-13,79,4194,26703,699
New Balance,550,2024-12-13,192,4986,33861,1090
Reebok,Classic Leather,2024-12-13,242,11330,19282,546
Nike,Air Force 1,2024-12-13,91,8116,23024,1550
Adidas,Superstar,2024-12-13,121,10161,11849,815
Puma,Rider Vintage,2024-12-13,26,5252,22481,1021
New Balance,327,2024-12-13,201,6540,7789,376
Reebok,Question Mid,2024-12-13,109,8375,30236,1454
Nike,Air Max 270,2024-12-13,49,8044,32013,2445
Adidas,Stan Smith,2024-12-14,99,5175,25343,1170
Puma,Cali Dream,2024-12-14,72,10548,14889,833
New Balance,9060,2024-12-14,181,9893,17233,496
Reebok,Zig Kinetica,2024-12-14,176,6895,33626,1871
Nike,Jordan 1,2024-12-14,84,8647,6958,289
Adidas,Ultraboost 23,2024-12-14,162,11592,14516,358
Puma,RS-X,2024-12-14,193,3127,34312,2468
New Balance,2002R,2024-12-14,222,10741,34986,1520
Reebok,Instapump Fury,2024-12-14,236,4942,24703,768
Nike,Cortez,2024-12-14,179,1590,8232,350
Adidas,NMD S1,2024-12-14,59,4676,33295,938
Puma,Suede Classic,2024-12-14,130,4252,9759,290
New Balance,990v6,2024-12-14,195,9985,7716,510
Reebok,Nano X3,2024-12-14,86,6522,20452,553
Nike,Vaporfly 3,2024-12-14,61,2318,5607,349
Adidas,Samba,2024-12-15,182,2262,7203,417
Puma,Mayze,2024-12-15,100,7171,6808,406
New Balance,574 Core,2024-12-15,178,6213,9933,600
Reebok,Club C 85,2024-12-15,27,8055,18591,686
Nike,Pegasus 40,2024-12-15,188,5029,20765,435
Adidas,Gazelle,2024-12-15,218,9655,21326,1303
Puma,Slipstream,2024-12-15,111,3517,21154,1260
New Balance,550,2024-12-15,34,3826,14535,434
Reebok,Classic Leather,2024-12-15,119,5373,20436,1461
Nike,Air Force 1,2024-12-15,27,11396,13185,617
Adidas,Superstar,2024-12-15,96,10152,6637,288
Puma,Rider Vintage,2024-12-15,213,1935,14275,416
New Balance,327,2024-12-15,31,7462,22187,1575
Reebok,Question Mid,2024-12-15,103,10578,24939,794
Nike,Air Max 270,2024-12-15,178,10395,12641,353
Adidas,Stan Smith,2024-12-16,50,6147,34876,1614
Puma,Cali Dream,2024-12-16,149,10952,11783,769
New Balance,9060,2024-12-16,186,6785,33051,906
Reebok,Zig Kinetica,2024-12-16,30,4500,5257,238
Nike,Jordan 1,2024-12-16,84,8518,22915,748
Adidas,Ultraboost 23,2024-12-16,231,5424,15681,513
Puma,RS-X,2024-12-16,198,5382,10393,450
New Balance,2002R,2024-12-16,244,3535,33965,2649
Reebok,Instapump Fury,2024-12-16,89,2472,19290,1534
Nike,Cortez,2024-12-16,220,10718,7062,546
Adidas,NMD S1,2024-12-16,61,5282,13020,517
Puma,Suede Classic,2024-12-16,158,3441,12097,616
New Balance,990v6,2024-12-16,104,9305,29758,1294
Reebok,Nano X3,2024-12-16,81,10039,34946,1782
Nike,Vaporfly 3,2024-12-16,212,5781,9339,519
Adidas,Samba,2024-12-17,170,3752,24511,562
Puma,Mayze,2024-12-17,240,11302,30330,2057
New Balance,574 Core,2024-12-17,154,8382,21037,1070
Reebok,Club C 85,2024-12-17,76,8447,12690,705
Nike,Pegasus 40,2024-12-17,31,10076,11805,777
Adidas,Gazelle,2024-12-17,45,6819,19379,1215
Puma,Slipstream,2024-12-17,110,2639,12138,413
New Balance,550,2024-12-17,92,6260,7628,209
Reebok,Classic Leather,2024-12-17,144,1934,10635,646
Nike,Air Force 1,2024-12-17,144,5894,7042,343
Adidas,Superstar,2024-12-17,71,5540,22894,1366
Puma,Rider Vintage,2024-12-17,119,5756,18188,1348
New Balance,327,2024-12-17,200,6578,17652,1196
Reebok,Question Mid,2024-12-17,149,7203,28580,1489
Nike,Air Max 270,2024-12-17,156,10403,9921,508
Adidas,Stan Smith,2024-12-18,175,3864,6091,307
Puma,Cali Dream,2024-12-18,192,8588,9045,666
New Balance,9060,2024-12-18,49,10259,8103,166
Reebok,Zig Kinetica,2024-12-18,41,8457,9702,465
Nike,Jordan 1,2024-12-18,180,6919,9609,325
Adidas,Ultraboost 23,2024-12-18,139,3012,19929,672
Puma,RS-X,2024-12-18,238,4725,13482,648
New Balance,2002R,2024-12-18,190,10970,27436,2016
Reebok,Instapump Fury,2024-12-18,109,5669,13625,447
Nike,Cortez,2024-12-18,169,7483,24837,1572
Adidas,NMD S1,2024-12-18,249,7417,30566,2193
Puma,Suede Classic,2024-12-18,216,9804,15672,1140
New Balance,990v6,2024-12-18,239,4911,16821,1226
Reebok,Nano X3,2024-12-18,226,1938,10420,462
Nike,Vaporfly 3,2024-12-18,179,6638,17208,748
Adidas,Samba,2024-12-19,35,11742,6639,286
Puma,Mayze,2024-12-19,112,5299,9410,330
New Balance,574 Core,2024-12-19,199,8870,29319,1809
Reebok,Club C 85,2024-12-19,39,7961,12863,983
Nike,Pegasus 40,2024-12-19,236,7828,7904,531
Adidas,Gazelle,2024-12-19,160,1985,14523,408
Puma,Slipstream,2024-12-19,65,7728,9819,645
New Balance,550,2024-12-19,87,2649,8818,320
Reebok,Classic Leather,2024-12-19,129,7884,29282,1496
Nike,Air Force 1,2024-12-19,110,2839,12947,643
Adidas,Superstar,2024-12-19,90,4561,7215,527
Puma,Rider Vintage,2024-12-19,120,5384,17777,940
New Balance,327,2024-12-19,138,9414,12005,320
Reebok,Question Mid,2024-12-19,186,5859,11554,384
Nike,Air Max 270,2024-12-19,168,4387,7190,492
Adidas,Stan Smith,2024-12-20,235,4076,29241,2127
Puma,Cali Dream,2024-12-20,114,3692,6561,304
New Balance,9060,2024-12-20,172,4139,18691,1208
Reebok,Zig Kinetica,2024-12-20,247,10870,14924,484
Nike,Jordan 1,2024-12-20,32,7117,13968,590
Adidas,Ultraboost 23,2024-12-20,227,4355,12197,326
Puma,RS-X,2024-12-20,247,11021,25237,1400
New Balance,2002R,2024-12-20,139,8190,32006,1052
Reebok,Instapump Fury,2024-12-20,70,2014,11840,543
Nike,Cortez,2024-12-20,247,7855,26058,975
Adidas,NMD S1,2024-12-20,185,4715,22958,1826
Puma,Suede Classic,2024-12-20,92,4215,25421,1644
New Balance,990v6,2024-12-20,74,9254,8205,421
Reebok,Nano X3,2024-12-20,52,2590,5526,220
Nike,Vaporfly 3,2024-12-20,241,1651,34088,2560
Adidas,Samba,2024-12-21,163,10444,9965,781
Puma,Mayze,2024-12-21,82,11361,29736,760
New Balance,574 Core,2024-12-21,142,11489,23155,972
Reebok,Club C 85,2024-12-21,135,3400,12150,644
Nike,Pegasus 40,2024-12-21,85,10897,13727,448
Adidas,Gazelle,2024-12-21,110,10192,33088,2205
Puma,Slipstream,2024-12-21,121,10492,29467,2192
New Balance,550,2024-12-21,171,5482,14533,963
Reebok,Classic Leather,2024-12-21,205,8305,34072,2597
Nike,Air Force 1,2024-12-21,196,5264,31624,656
Adidas,Superstar,2024-12-21,242,11114,25893,1697
Puma,Rider Vintage,2024-12-21,220,7181,30238,1633
New Balance,327,2024-12-21,223,4208,32354,2561
Reebok,Question Mid,2024-12-21,216,9408,14650,615
Nike,Air Max 270,2024-12-21,134,8170,34443,1972
Adidas,Stan Smith,2024-12-22,76,10952,16804,1159
Puma,Cali Dream,2024-12-22,143,1939,20353,983
New Balance,9060,2024-12-22,49,10323,25327,629
Reebok,Zig Kinetica,2024-12-22,66,2254,32395,1186
Nike,Jordan 1,2024-12-22,102,9017,27471,2067
Adidas,Ultraboost 23,2024-12-22,57,8733,34483,1629
Puma,RS-X,2024-12-22,71,5628,22749,1525
New Balance,2002R,2024-12-22,180,3184,22275,507
Reebok,Instapump Fury,2024-12-22,247,8922,31005,1226
Nike,Cortez,2024-12-22,245,9126,21753,1128
Adidas,NMD S1,2024-12-22,68,1846,14253,896
Puma,Suede Classic,2024-12-22,116,8919,15432,902
New Balance,990v6,2024-12-22,172,4785,20057,1545
Reebok,Nano X3,2024-12-22,117,7652,10076,513
Nike,Vaporfly 3,2024-12-22,228,11003,17814,645
Adidas,Samba,2024-12-23,100,7567,8242,402
Puma,Mayze,2024-12-23,223,3875,14478,484
New Balance,574 Core,2024-12-23,84,7861,9277,637
Reebok,Club C 85,2024-12-23,147,6872,22065,612
Nike,Pegasus 40,2024-12-23,144,11909,6826,195
Adidas,Gazelle,2024-12-23,49,9066,21468,1641
Puma,Slipstream,2024-12-23,67,10689,7614,204
New Balance,550,2024-12-23,27,11829,29106,1655
Reebok,Classic Leather,2024-12-23,106,5351,9343,508
Nike,Air Force 1,2024-12-23,157,6722,13817,752
Adidas,Superstar,2024-12-23,239,5684,7742,376
Puma,Rider Vintage,2024-12-23,211,5042,34926,1046
New Balance,327,2024-12-23,92,2129,5923,219
Reebok,Question Mid,2024-12-23,179,2499,29680,1136
Nike,Air Max 270,2024-12-23,176,9146,22921,1224
Adidas,Stan Smith,2024-12-24,91,4057,17612,1394
Puma,Cali Dream,2024-12-24,86,8298,12267,593
New Balance,9060,2024-12-24,145,1779,25746,1552
Reebok,Zig Kinetica,2024-12-24,162,5310,20428,1596
Nike,Jordan 1,2024-12-24,103,5662,12289,679
Adidas,Ultraboost 23,2024-12-24,154,9499,17082,751
Puma,RS-X,2024-12-24,56,4287,32297,1877
New Balance,2002R,2024-12-24,33,10239,24726,1502
Reebok,Instapump Fury,2024-12-24,107,11160,8735,399
Nike,Cortez,2024-12-24,233,10180,34344,1624
Adidas,NMD S1,2024-12-24,55,6717,33979,2268
Puma,Suede Classic,2024-12-24,110,2148,29704,1618
New Balance,990v6,2024-12-24,149,4574,25055,800
Reebok,Nano X3,2024-12-24,71,6691,29217,2080
Nike,Vaporfly 3,2024-12-24,170,9147,20008,1413
Adidas,Samba,2024-12-25,213,3675,20773,1530
Puma,Mayze,2024-12-25,81,6336,29124,729
New Balance,574 Core,2024-12-25,158,8663,28808,1793
Reebok,Club C 85,2024-12-25,192,10298,12398,906
Nike,Pegasus 40,2024-12-25,142,4269,9349,615
Adidas,Gazelle,2024-12-25,62,6013,21203,931
Puma,Slipstream,2024-12-25,144,10871,34648,1562
New Balance,550,2024-12-25,77,6348,9645,328
Reebok,Classic Leather,2024-12-25,41,2185,22069,770
Nike,Air Force 1,2024-12-25,240,6150,24748,645
Adidas,Superstar,2024-12-25,128,1362,19448,671
Puma,Rider Vintage,2024-12-25,23,10221,22896,746
New Balance,327,2024-12-25,168,10641,8063,389
Reebok,Question Mid,2024-12-25,68,7952,13571,1051
Nike,Air Max 270,2024-12-25,196,9051,13912,453
Adidas,Stan Smith,2024-12-26,234,5708,13851,871
Puma,Cali Dream,2024-12-26,244,7582,24283,778
New Balance,9060,2024-12-26,68,8811,21301,458
Reebok,Zig Kinetica,2024-12-26,116,2739,29164,864
Nike,Jordan 1,2024-12-26,104,9601,30574,1161
Adidas,Ultraboost 23,2024-12-26,122,2652,19682,1405
Puma,RS-X,2024-12-26,100,10209,15001,928
New Balance,2002R,2024-12-26,38,7447,21527,1359
Reebok,Instapump Fury,2024-12-26,191,6999,6948,417
Nike,Cortez,2024-12-26,38,9741,11484,616
Adidas,NMD S1,2024-12-26,34,6644,21015,1487
Puma,Suede Classic,2024-12-26,147,1554,31881,905
New Balance,990v6,2024-12-26,140,11368,27465,1607
Reebok,Nano X3,2024-12-26,59,9564,29832,1367
Nike,Vaporfly 3,2024-12-26,28,6320,14375,786
Adidas,Samba,2024-12-27,73,1982,32328,1992
Puma,Mayze,2024-12-27,243,5981,30203,732
New Balance,574 Core,2024-12-27,52,6908,18056,451
Reebok,Club C 85,2024-12-27,83,5070,8373,189
Nike,Pegasus 40,2024-12-27,145,7126,29024,1754
Adidas,Gazelle,2024-12-27,55,3806,32848,1520
Puma,Slipstream,2024-12-27,154,8642,21657,1492
New Balance,550,2024-12-27,206,9189,10986,652
Reebok,Classic Leather,2024-12-27,235,3381,13050,697
Nike,Air Force 1,2024-12-27,63,6390,20304,739
Adidas,Superstar,2024-12-27,48,1987,14924,614
Puma,Rider Vintage,2024-12-27,237,8200,8657,401
New Balance,327,2024-12-27,173,6417,13235,577
Reebok,Question Mid,2024-12-27,130,10476,19472,1138
Nike,Air Max 270,2024-12-27,234,10224,20608,1637
Adidas,Stan Smith,2024-12-28,250,3313,26352,990
Puma,Cali Dream,2024-12-28,43,3435,5604,394
New Balance,9060,2024-12-28,187,9953,31148,2110
Reebok,Zig Kinetica,2024-12-28,47,3292,34977,957
Nike,Jordan 1,2024-12-28,238,4240,13619,447
Adidas,Ultraboost 23,2024-12-28,121,6353,29407,1177
Puma,RS-X,2024-12-28,53,11615,6027,412
New Balance,2002R,2024-12-28,208,6599,6005,276
Reebok,Instapump Fury,2024-12-28,156,4748,19353,573
Nike,Cortez,2024-12-28,155,10795,16740,870
Adidas,NMD S1,2024-12-28,234,5674,13193,568
Puma,Suede Classic,2024-12-28,66,10581,18272,968
New Balance,990v6,2024-12-28,243,4998,16313,1158
Reebok,Nano X3,2024-12-28,153,8013,6041,482
Nike,Vaporfly 3,2024-12-28,203,7249,18479,685
Adidas,Samba,2024-12-29,98,3722,31988,958
Puma,Mayze,2024-12-29,250,6061,31648,834
New Balance,574 Core,2024-12-29,110,9047,19665,1042
Reebok,Club C 85,2024-12-29,228,6232,20383,1502
Nike,Pegasus 40,2024-12-29,72,8260,5561,399
Adidas,Gazelle,2024-12-29,212,7315,14462,963
Puma,Slipstream,2024-12-29,161,4929,24789,1235
New Balance,550,2024-12-29,214,3945,31975,1968
Reebok,Classic Leather,2024-12-29,236,9949,22108,484
Nike,Air Force 1,2024-12-29,21,8232,6620,310
Adidas,Superstar,2024-12-29,121,2289,14460,736
Puma,Rider Vintage,2024-12-29,146,4305,11902,742
New Balance,327,2024-12-29,148,7208,6266,487
Reebok,Question Mid,2024-12-29,200,4557,22213,836
Nike,Air Max 270,2024-12-29,71,8067,14127,778
Adidas,Stan Smith,2024-12-30,141,4490,33936,1113
Puma,Cali Dream,2024-12-30,77,11544,25630,1607
New Balance,9060,2024-12-30,142,8088,10956,717
Reebok,Zig Kinetica,2024-12-30,141,8287,5817,307
Nike,Jordan 1,2024-12-30,63,6890,19766,827
Adidas,Ultraboost 23,2024-12-30,61,10893,5973,454
Puma,RS-X,2024-12-30,214,2668,15144,418
New Balance,2002R,2024-12-30,216,8852,14713,312
Reebok,Instapump Fury,2024-12-30,20,11375,21310,1273
Nike,Cortez,2024-12-30,230,9297,13643,1040
Adidas,NMD S1,2024-12-30,232,5655,7518,175
Puma,Suede Classic,2024-12-30,248,2545,15527,421
New Balance,990v6,2024-12-30,49,11582,31705,2055
Reebok,Nano X3,2024-12-30,39,2370,5503,404
Nike,Vaporfly 3,2024-12-30,250,2265,31408,1837
Adidas,Samba,2024-12-31,147,3205,20433,1330
Puma,Mayze,2024-12-31,127,2278,33188,678
New Balance,574 Core,2024-12-31,143,8285,6092,483
Reebok,Club C 85,2024-12-31,146,4944,15014,911
Nike,Pegasus 40,2024-12-31,223,8045,30627,2011
Adidas,Gazelle,2024-12-31,124,5211,22529,1481
Puma,Slipstream,2024-12-31,37,6678,23244,968
New Balance,550,2024-12-31,114,11770,8099,361
Reebok,Classic Leather,2024-12-31,216,9100,17916,516
Nike,Air Force 1,2024-12-31,144,3274,24182,542
Adidas,Superstar,2024-12-31,177,8468,19361,463
Puma,Rider Vintage,2024-12-31,182,1993,16104,833
New Balance,327,2024-12-31,52,8831,25101,1602
Reebok,Question Mid,2024-12-31,115,2924,13395,595
Nike,Air Max 270,2024-12-31,155,6640,7326,552
Adidas,Stan Smith,2025-01-01,181,9988,34794,1596
Puma,Cali Dream,2025-01-01,56,7700,21495,542
New Balance,9060,2025-01-01,37,10666,15918,999
Reebok,Zig Kinetica,2025-01-01,33,10215,10888,675
Nike,Jordan 1,2025-01-01,127,1815,31195,1331
Adidas,Ultraboost 23,2025-01-01,177,6527,34360,943
Puma,RS-X,2025-01-01,225,9022,15535,908
New Balance,2002R,2025-01-01,39,10217,33060,2201
Reebok,Instapump Fury,2025-01-01,221,3255,25278,1353
Nike,Cortez,2025-01-01,141,2328,12225,582
Adidas,NMD S1,2025-01-01,61,2131,32245,1060
Puma,Suede Classic,2025-01-01,213,8811,24104,1644
New Balance,990v6,2025-01-01,77,10740,15792,690
Reebok,Nano X3,2025-01-01,128,7505,11180,682
Nike,Vaporfly 3,2025-01-01,117,9481,22270,1211
Adidas,Samba,2025-01-02,99,9291,11820,781
Puma,Mayze,2025-01-02,147,11268,6790,493
New Balance,574 Core,2025-01-02,70,7600,16115,852
Reebok,Club C 85,2025-01-02,176,8146,31340,2048
Nike,Pegasus 40,2025-01-02,54,7204,18575,1380
Adidas,Gazelle,2025-01-02,31,7107,8098,396
Puma,Slipstream,2025-01-02,54,10930,32696,2295
New Balance,550,2025-01-02,38,9277,29098,811
Reebok,Classic Leather,2025-01-02,128,10078,12106,691
Nike,Air Force 1,2025-01-02,43,3878,32096,2340
Adidas,Superstar,2025-01-02,137,8258,14852,792
Puma,Rider Vintage,2025-01-02,104,9617,7244,309
New Balance,327,2025-01-02,157,3975,12622,507
Reebok,Question Mid,2025-01-02,26,6081,18254,483
Nike,Air Max 270,2025-01-02,23,7815,28681,1211
Adidas,Stan Smith,2025-01-03,134,4944,33340,2639
Puma,Cali Dream,2025-01-03,26,1761,20337,701
New Balance,9060,2025-01-03,87,10580,5145,156
Reebok,Zig Kinetica,2025-01-03,181,3427,15942,397
Nike,Jordan 1,2025-01-03,26,1466,25556,1589
Adidas,Ultraboost 23,2025-01-03,243,6269,32838,664
Puma,RS-X,2025-01-03,138,3892,15137,654
New Balance,2002R,2025-01-03,215,3145,8771,561
Reebok,Instapump Fury,2025-01-03,139,9828,33117,2158
Nike,Cortez,2025-01-03,234,6033,21013,1600
Adidas,NMD S1,2025-01-03,139,9176,21150,1625
Puma,Suede Classic,2025-01-03,219,4208,32054,2437
New Balance,990v6,2025-01-03,224,7413,22729,897
Reebok,Nano X3,2025-01-03,104,5222,23921,1550
Nike,Vaporfly 3,2025-01-03,241,5921,30689,2030
Adidas,Samba,2025-01-04,20,6914,20968,1177
Puma,Mayze,2025-01-04,130,8527,15029,1036
New Balance,574 Core,2025-01-04,140,4384,21309,1268
Reebok,Club C 85,2025-01-04,37,9265,26287,697
Nike,Pegasus 40,2025-01-04,83,9102,24005,574
Adidas,Gazelle,2025-01-04,145,8937,18380,1371
Puma,Slipstream,2025-01-04,144,10696,7624,414
New Balance,550,2025-01-04,64,7242,9917,676
Reebok,Classic Leather,2025-01-04,22,9779,12010,864
Nike,Air Force 1,2025-01-04,136,8642,6381,393
Adidas,Superstar,2025-01-04,80,6821,9010,536
Puma,Rider Vintage,2025-01-04,229,7619,18275,616
New Balance,327,2025-01-04,179,8728,15767,760
Reebok,Question Mid,2025-01-04,149,9246,16407,613
Nike,Air Max 270,2025-01-04,39,4143,18203,1064
Adidas,Stan Smith,2025-01-05,103,2921,11153,537
Puma,Cali Dream,2025-01-05,150,5579,15679,1119
New Balance,9060,2025-01-05,247,7273,18579,1215
Reebok,Zig Kinetica,2025-01-05,208,8149,17641,707
Nike,Jordan 1,2025-01-05,33,12120,32998,1683
Adidas,Ultraboost 23,2025-01-05,111,5628,25605,2004
Puma,RS-X,2025-01-05,180,9174,11501,533
New Balance,2002R,2025-01-05,193,7358,33704,700
Reebok,Instapump Fury,2025-01-05,126,4510,32265,1608
Nike,Cortez,2025-01-05,76,9921,21921,1261
Adidas,NMD S1,2025-01-05,222,7614,17743,819
Puma,Suede Classic,2025-01-05,148,11165,13036,601
New Balance,990v6,2025-01-05,214,8821,26914,786
Reebok,Nano X3,2025-01-05,180,9783,24115,1835
Nike,Vaporfly 3,2025-01-05,205,2395,29598,2137
Adidas,Samba,2025-01-06,191,4871,14185,1074
Puma,Mayze,2025-01-06,222,10006,16680,1273
New Balance,574 Core,2025-01-06,186,3266,9481,548
Reebok,Club C 85,2025-01-06,225,1678,32750,1667
Nike,Pegasus 40,2025-01-06,102,4405,25694,1605
Adidas,Gazelle,2025-01-06,27,10183,29111,721
Puma,Slipstream,2025-01-06,126,10906,21685,966
New Balance,550,2025-01-06,22,4590,32395,2543
Reebok,Classic Leather,2025-01-06,67,8069,25347,1604
Nike,Air Force 1,2025-01-06,25,5913,13931,856
Adidas,Superstar,2025-01-06,125,9446,17897,1335
Puma,Rider Vintage,2025-01-06,37,6732,9270,345
New Balance,327,2025-01-06,45,9200,19865,921
Reebok,Question Mid,2025-01-06,35,6660,8927,334
Nike,Air Max 270,2025-01-06,123,4314,25853,1333
Adidas,Stan Smith,2025-01-07,54,7993,26659,851
Puma,Cali Dream,2025-01-07,175,9390,25847,550
New Balance,9060,2025-01-07,235,3730,12862,664
Reebok,Zig Kinetica,2025-01-07,30,6655,6852,278
Nike,Jordan 1,2025-01-07,52,11595,7935,349
Adidas,Ultraboost 23,2025-01-07,78,3304,6683,252
Puma,RS-X,2025-01-07,158,9362,24395,1412
New Balance,2002R,2025-01-07,214,4785,31521,2486
Reebok,Instapump Fury,2025-01-07,132,7507,16920,716
Nike,Cortez,2025-01-07,202,6700,33913,1740
Adidas,NMD S1,2025-01-07,190,4450,28316,1500
Puma,Suede Classic,2025-01-07,86,4312,18126,1357
New Balance,990v6,2025-01-07,195,9753,31468,2007
